generations,merchants,distance
10,5,205119.95564445935
20,5,204987.40876068678
30,5,205235.77928632556
40,5,205189.21694739602
50,5,205459.78382738287
60,5,205133.3692765258
70,5,205285.47302560438
80,5,205131.51059957533
90,5,205248.8060994451
100,5,205346.54313671644
110,5,205207.81941575426
120,5,205178.6256522945
130,5,205292.13699019124
140,5,205386.17562278523
150,5,205179.95277219065
160,5,205301.00594899172
170,5,205179.03423223895
180,5,205435.4783677883
190,5,205146.458691156
200,5,205300.3408987421
210,5,205352.07892435155
220,5,205112.9551523722
230,5,205101.81199071158
240,5,205254.2458158412
250,5,205255.1599015425
260,5,205216.08852302356
270,5,205181.41960762496
280,5,205106.28625304377
290,5,205124.2926816387
300,5,205357.15084388
310,5,205185.69507787464
320,5,205128.78686649035
330,5,205287.43739131757
340,5,205146.2505763251
350,5,205183.4455990016
360,5,205200.818075962
370,5,205354.16193597062
380,5,205185.28069427103
390,5,205193.30776878414
400,5,205261.21879937247
410,5,205301.2418687323
420,5,205353.64291356472
430,5,205262.45921085318
440,5,205309.21953614228
450,5,205218.37408477376
460,5,205420.70242378148
470,5,205289.99433248103
480,5,205097.74456434915
490,5,205188.4047249822
500,5,205226.20021624863
510,5,205311.66094654147
520,5,205324.0377088434
530,5,205217.15837969846
540,5,205233.31854331918
550,5,205098.97426185405
560,5,205371.42347762708
570,5,205255.11335909323
580,5,205165.42046749635
590,5,205229.7054606704
600,5,205145.33190377257
610,5,205283.7345873949
620,5,205456.89704363697
630,5,205141.78633907938
640,5,205288.19857265308
650,5,205408.94280150105
660,5,205193.74870891345
670,5,205266.37940450184
680,5,205251.2967941967
690,5,205300.8670488543
700,5,205290.87091001982
710,5,205216.67960252307
720,5,205271.0521000002
730,5,205217.7413395175
740,5,205300.48103557827
750,5,205155.56661516952
760,5,205214.6391580371
770,5,205352.8368043951
780,5,205262.4235670434
790,5,205361.07805825068
800,5,205288.18506996558
810,5,205330.82093238962
820,5,205300.10278961778
830,5,205297.99221353428
840,5,205165.96239946142
850,5,205153.20653268017
860,5,205169.16106103052
870,5,205339.48602563626
880,5,205295.59003790826
890,5,205177.61457203884
900,5,205253.93769043224
910,5,205381.491541414
920,5,205111.75518438933
930,5,205291.39726028164
940,5,205302.84417028798
950,5,205237.41983756723
960,5,205217.57293659306
970,5,205143.72950363756
980,5,205280.37617750064
990,5,205327.91087257297
1000,5,205229.45602374393
10,10,205198.91672119225
20,10,205291.33431705539
30,10,205190.6266272073
40,10,205219.89494159332
50,10,205230.1043164368
60,10,205365.21211603816
70,10,205132.6743652542
80,10,205223.54546991742
90,10,205070.3050371246
100,10,205356.60732426855
110,10,205375.48049147337
120,10,205294.22807388243
130,10,205350.35995519516
140,10,205143.6315663176
150,10,205213.15973009376
160,10,205302.9313511661
170,10,205369.7697467324
180,10,205468.36128607753
190,10,205125.6684244135
200,10,205320.94418586564
210,10,205267.1776455054
220,10,205141.63378956373
230,10,205202.19449576206
240,10,205307.6340428624
250,10,205291.13715623302
260,10,205295.05355608434
270,10,205333.11912457773
280,10,205270.32535136928
290,10,205323.21604714717
300,10,205267.8655440593
310,10,205433.161353229
320,10,205235.98746402204
330,10,205319.27010693136
340,10,205393.0761997907
350,10,205306.90101846773
360,10,205231.2140426653
370,10,205341.2388455118
380,10,205353.79718681757
390,10,205121.60825704824
400,10,205368.64791599507
410,10,205228.2705013395
420,10,205301.82583522564
430,10,205289.27150531003
440,10,205174.40746084723
450,10,205337.8971568482
460,10,205410.82510164095
470,10,205170.6480081918
480,10,205385.81323439738
490,10,205467.55835721144
500,10,205291.6145042947
510,10,205375.9949619294
520,10,205359.80605290734
530,10,205227.33861023778
540,10,205254.44539588236
550,10,205246.06664718813
560,10,205294.48843220968
570,10,205329.71508758442
580,10,205221.957311539
590,10,205307.92027077568
600,10,205268.19953331508
610,10,205259.34265475546
620,10,205243.48692013245
630,10,205346.71893756874
640,10,205245.09978225222
650,10,205184.37477634088
660,10,205321.89820144125
670,10,205281.2656817837
680,10,205265.11252741585
690,10,205446.37381934596
700,10,205274.90777717004
710,10,205387.48534669777
720,10,205354.52459706494
730,10,205321.1147391222
740,10,205165.9628313353
750,10,205361.24330533508
760,10,205186.10387957096
770,10,205274.64504942324
780,10,205206.4029531021
790,10,205374.73756130494
800,10,205300.38753289863
810,10,205316.1301910873
820,10,205418.7742345185
830,10,205265.18525924807
840,10,205342.26177687218
850,10,205230.6868535097
860,10,205272.58527892627
870,10,205279.5776064305
880,10,205292.3153001357
890,10,205233.15025914187
900,10,205226.90179917807
910,10,205351.19137659378
920,10,205330.10317183906
930,10,205254.88537127958
940,10,205285.70868718677
