generations,merchants,distance
10,5,205394.47297668146
20,5,205221.3862752125
30,5,205424.0070871522
40,5,205372.6436343193
50,5,205247.01994799587
60,5,205327.41280404775
70,5,205291.90280920212
80,5,205273.5937141107
90,5,205246.13541535006
100,5,205366.871451959
110,5,205266.14320448236
120,5,205322.49436649142
130,5,205309.54415466863
140,5,205186.39241764855
150,5,205097.3364043414
160,5,205355.21602915635
170,5,205269.2138190171
180,5,205196.78488775686
190,5,205356.90748663608
200,5,205250.55869498404
210,5,205264.53972755242
220,5,205188.85895670616
230,5,205377.90042341803
240,5,205306.44855385326
250,5,205218.5047733858
260,5,205202.61156801824
270,5,205169.29853832774
280,5,205180.186821001
290,5,205025.956045762
300,5,205319.05437899966
310,5,205230.83387948494
320,5,205324.2248738371
330,5,205184.2016348777
340,5,205130.33887091995
350,5,205245.0615587075
360,5,205183.63041780415
370,5,205280.21337330583
380,5,205188.89056939975
390,5,205324.3605770372
400,5,205250.91329166046
410,5,205335.38148102222
420,5,205361.1628572862
430,5,205021.5103060256
440,5,205013.74418215523
450,5,205185.70365636144
460,5,205276.5959291737
470,5,205360.21974758286
480,5,205276.95549276687
490,5,205177.73871370184
500,5,205278.02270438877
510,5,205196.31989967314
520,5,205322.09718433217
530,5,205313.97257040656
540,5,205096.97291689293
550,5,205247.40710509857
560,5,205391.4592933591
570,5,205229.07595013897
580,5,205241.11332802224
590,5,205238.5578645551
600,5,205220.8090850395
610,5,205309.4380433018
620,5,205140.61286758486
630,5,205203.25917817772
640,5,205202.30843828083
650,5,205406.14958278622
660,5,205196.37689118955
670,5,205221.7967184791
680,5,205352.62875644138
690,5,205297.59225546173
700,5,205315.08877934795
710,5,205176.0075221733
720,5,205305.5441794275
730,5,205213.74131793054
740,5,205253.5431439135
750,5,205169.1498631926
760,5,205143.98155365774
770,5,205267.8283568285
780,5,205307.06182556978
790,5,205346.07336225972
800,5,205144.53587207882
810,5,205214.25281330608
820,5,205256.59546053497
830,5,205297.10890389603
840,5,205229.632301156
850,5,205212.20644646
860,5,205207.39717096463
870,5,205309.1180168291
880,5,205268.93344299027
890,5,205145.07945870757
900,5,205349.07624213686
910,5,205411.6985958741
920,5,205201.25037269286
930,5,205130.45819699985
940,5,205387.23426686227
950,5,205246.98808293583
960,5,205382.65852472128
970,5,205134.76827409616
980,5,205427.67397543977
990,5,205284.76130483142
1000,5,205276.66225951447
10,10,205207.28538110905
20,10,205360.42287542563
30,10,205354.53351700885
40,10,205211.08543407483
50,10,205310.5918753424
60,10,205334.79267290467
70,10,205283.0012890322
